<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RIZ8 [SPBFUT],5,20180824,193500,105549.334199
RIZ8 [SPBFUT],5,20180824,194000,105559.695193
RIZ8 [SPBFUT],5,20180824,194500,105570.685745
RIZ8 [SPBFUT],5,20180824,195000,105581.510364
RIZ8 [SPBFUT],5,20180824,195500,105591.775104
RIZ8 [SPBFUT],5,20180824,200000,105602.116803
RIZ8 [SPBFUT],5,20180824,200500,105611.744338
RIZ8 [SPBFUT],5,20180824,201000,105620.663355
RIZ8 [SPBFUT],5,20180824,201500,105630.065226
RIZ8 [SPBFUT],5,20180824,202000,105639.708979
RIZ8 [SPBFUT],5,20180824,202500,105648.960291
RIZ8 [SPBFUT],5,20180824,203000,105657.268906
RIZ8 [SPBFUT],5,20180824,203500,105664.167966
RIZ8 [SPBFUT],5,20180824,204000,105671.170591
RIZ8 [SPBFUT],5,20180824,204500,105678.829321
RIZ8 [SPBFUT],5,20180824,205000,105686.585611
RIZ8 [SPBFUT],5,20180824,205500,105694.675843
RIZ8 [SPBFUT],5,20180824,210000,105702.464967
RIZ8 [SPBFUT],5,20180824,210500,105711.141133
RIZ8 [SPBFUT],5,20180824,211000,105719.590611
RIZ8 [SPBFUT],5,20180824,211500,105728.526653
RIZ8 [SPBFUT],5,20180824,212000,105737.392055
RIZ8 [SPBFUT],5,20180824,212500,105746.582632
RIZ8 [SPBFUT],5,20180824,213000,105755.621504
RIZ8 [SPBFUT],5,20180824,213500,105764.588923
RIZ8 [SPBFUT],5,20180824,214000,105773.564505
RIZ8 [SPBFUT],5,20180824,214500,105782.231979
RIZ8 [SPBFUT],5,20180824,215000,105790.672833
RIZ8 [SPBFUT],5,20180824,215500,105799.126012
RIZ8 [SPBFUT],5,20180824,220000,105807.749522
RIZ8 [SPBFUT],5,20180824,220500,105815.514348
RIZ8 [SPBFUT],5,20180824,221000,105824.008306
RIZ8 [SPBFUT],5,20180824,221500,105833.858042
RIZ8 [SPBFUT],5,20180824,222000,105843.076556
RIZ8 [SPBFUT],5,20180824,222500,105852.301247
RIZ8 [SPBFUT],5,20180824,223000,105862.243530
RIZ8 [SPBFUT],5,20180824,223500,105872.265320
RIZ8 [SPBFUT],5,20180824,224000,105882.365989
RIZ8 [SPBFUT],5,20180824,224500,105892.149657
RIZ8 [SPBFUT],5,20180824,225000,105902.093138
RIZ8 [SPBFUT],5,20180824,225500,105911.958015
RIZ8 [SPBFUT],5,20180824,230000,105921.982062
RIZ8 [SPBFUT],5,20180824,230500,105931.610662
RIZ8 [SPBFUT],5,20180824,231000,105940.688839
RIZ8 [SPBFUT],5,20180824,231500,105949.616200
RIZ8 [SPBFUT],5,20180824,232000,105958.314886
RIZ8 [SPBFUT],5,20180824,232500,105967.102911
RIZ8 [SPBFUT],5,20180824,233000,105975.030951
RIZ8 [SPBFUT],5,20180824,233500,105983.291576
RIZ8 [SPBFUT],5,20180824,234000,105991.565951
RIZ8 [SPBFUT],5,20180824,234500,106001.039738
RIZ8 [SPBFUT],5,20180827,100000,106008.146143
RIZ8 [SPBFUT],5,20180827,100500,106018.595581
RIZ8 [SPBFUT],5,20180827,101000,106028.250951
RIZ8 [SPBFUT],5,20180827,101500,106037.276636
RIZ8 [SPBFUT],5,20180827,102000,106047.021484
RIZ8 [SPBFUT],5,20180827,102500,106057.005504
RIZ8 [SPBFUT],5,20180827,103000,106066.120085
RIZ8 [SPBFUT],5,20180827,103500,106075.636922
RIZ8 [SPBFUT],5,20180827,104000,106084.841374
RIZ8 [SPBFUT],5,20180827,104500,106094.131165
RIZ8 [SPBFUT],5,20180827,105000,106103.268468
RIZ8 [SPBFUT],5,20180827,105500,106112.491642
RIZ8 [SPBFUT],5,20180827,110000,106122.511471
RIZ8 [SPBFUT],5,20180827,110500,106132.689246
RIZ8 [SPBFUT],5,20180827,111000,106143.735181
RIZ8 [SPBFUT],5,20180827,111500,106154.614745
RIZ8 [SPBFUT],5,20180827,112000,106165.171150
RIZ8 [SPBFUT],5,20180827,112500,106175.406951
RIZ8 [SPBFUT],5,20180827,113000,106184.929426
RIZ8 [SPBFUT],5,20180827,113500,106194.850932
RIZ8 [SPBFUT],5,20180827,114000,106205.563573
RIZ8 [SPBFUT],5,20180827,114500,106215.717221
RIZ8 [SPBFUT],5,20180827,115000,106226.897322
RIZ8 [SPBFUT],5,20180827,115500,106237.356632
RIZ8 [SPBFUT],5,20180827,120000,106245.124563
RIZ8 [SPBFUT],5,20180827,120500,106253.463500
RIZ8 [SPBFUT],5,20180827,121000,106262.210824
RIZ8 [SPBFUT],5,20180827,121500,106271.837616
RIZ8 [SPBFUT],5,20180827,122000,106280.913998
RIZ8 [SPBFUT],5,20180827,122500,106290.155785
RIZ8 [SPBFUT],5,20180827,123000,106299.403565
RIZ8 [SPBFUT],5,20180827,123500,106308.182984
RIZ8 [SPBFUT],5,20180827,124000,106316.813948
RIZ8 [SPBFUT],5,20180827,124500,106326.641506
RIZ8 [SPBFUT],5,20180827,125000,106336.154221
RIZ8 [SPBFUT],5,20180827,125500,106345.828891
RIZ8 [SPBFUT],5,20180827,130000,106354.715620
RIZ8 [SPBFUT],5,20180827,130500,106363.611148
RIZ8 [SPBFUT],5,20180827,131000,106372.594459
RIZ8 [SPBFUT],5,20180827,131500,106381.585807
RIZ8 [SPBFUT],5,20180827,132000,106390.347975
RIZ8 [SPBFUT],5,20180827,132500,106398.882774
RIZ8 [SPBFUT],5,20180827,133000,106407.192001
RIZ8 [SPBFUT],5,20180827,133500,106414.486926
RIZ8 [SPBFUT],5,20180827,134000,106422.356594
RIZ8 [SPBFUT],5,20180827,134500,106430.005949
RIZ8 [SPBFUT],5,20180827,135000,106437.673886
RIZ8 [SPBFUT],5,20180827,135500,106444.965002
RIZ8 [SPBFUT],5,20180827,140500,106453.384251
RIZ8 [SPBFUT],5,20180827,141000,106461.341688
RIZ8 [SPBFUT],5,20180827,141500,106468.524757
RIZ8 [SPBFUT],5,20180827,142000,106476.283455
RIZ8 [SPBFUT],5,20180827,142500,106483.980819
RIZ8 [SPBFUT],5,20180827,143000,106491.933540
RIZ8 [SPBFUT],5,20180827,143500,106500.692958
RIZ8 [SPBFUT],5,20180827,144000,106510.647955
RIZ8 [SPBFUT],5,20180827,144500,106520.761410
RIZ8 [SPBFUT],5,20180827,145000,106530.636813
RIZ8 [SPBFUT],5,20180827,145500,106541.145613
RIZ8 [SPBFUT],5,20180827,150000,106552.361854
RIZ8 [SPBFUT],5,20180827,150500,106562.145554
RIZ8 [SPBFUT],5,20180827,151000,106571.930965
RIZ8 [SPBFUT],5,20180827,151500,106582.745740
RIZ8 [SPBFUT],5,20180827,152000,106593.870280
